GID_LAT	GID_LON	mean_1870-1999	mean_1995-1999	mean_2015-2030	0	-nan	0	-nan
-88.92773	-71.71875	228.499	229.352	230.655	0.853	0.373306	2.156	0.943549
-88.92773	-70.3125	228.469	229.318	230.621	0.849	0.371604	2.152	0.941922
-88.92773	-68.90625	228.435	229.286	230.59	0.851	0.372535	2.155	0.943376
-88.92773	-67.5	228.404	229.258	230.56	0.854	0.373899	2.156	0.943941
-88.92773	-66.09375	228.369	229.23	230.532	0.861	0.377021	2.163	0.947151
-88.92773	-64.6875	228.331	229.195	230.496	0.864	0.378398	2.165	0.948185
-88.92773	-63.28125	228.299	229.167	230.467	0.868	0.380203	2.168	0.949632
-88.92773	-61.875	228.263	229.128	230.434	0.865	0.378949	2.171	0.951096
-88.92773	-60.46875	228.222	229.093	230.397	0.871	0.381646	2.175	0.953019
-88.92773	-59.0625	228.182	229.057	230.365	0.875	0.383466	2.183	0.956692
-88.92773	-57.65625	228.145	229.021	230.334	0.876	0.383966	2.189	0.959478
-88.92773	-56.25	228.107	228.983	230.296	0.876	0.38403	2.189	0.959637
-88.92773	-54.84375	228.064	228.944	230.253	0.88	0.385857	2.189	0.959818
-88.92773	-53.4375	228.021	228.906	230.214	0.885	0.388122	2.193	0.961754
-88.92773	-52.03125	227.976	228.862	230.174	0.886	0.388637	2.198	0.964137
-88.92773	-50.625	227.931	228.821	230.134	0.89	0.390469	2.203	0.966521
-88.92773	-49.21875	227.887	228.777	230.096	0.89	0.390544	2.209	0.96934
-88.92773	-47.8125	227.84	228.731	230.051	0.891	0.391064	2.211	0.970418
-88.92773	-46.40625	227.79	228.683	230.005	0.893	0.392028	2.215	0.972387
-88.92773	-45	227.743	228.645	229.959	0.902	0.39606	2.216	0.973027
-88.92773	-43.59375	227.693	228.601	229.917	0.908	0.398783	2.224	0.976754
-88.92773	-42.1875	227.643	228.549	229.87	0.906	0.397992	2.227	0.978286
-88.92773	-40.78125	227.593	228.501	229.82	0.908	0.398958	2.227	0.978501
-88.92773	-39.375	227.543	228.455	229.777	0.912	0.400803	2.234	0.981792
-88.92773	-37.96875	227.488	228.404	229.728	0.916	0.402659	2.24	0.984667
-88.92773	-36.5625	227.433	228.347	229.675	0.914	0.401877	2.242	0.985785
-88.92773	-35.15625	227.38	228.299	229.623	0.919	0.404169	2.243	0.986454
-88.92773	-33.75	227.323	228.248	229.57	0.925	0.40691	2.247	0.988461
-88.92773	-32.34375	227.271	228.201	229.523	0.93	0.409203	2.252	0.990888
-88.92773	-30.9375	227.216	228.149	229.471	0.933	0.410622	2.255	0.992448
-88.92773	-29.53125	227.156	228.09	229.417	0.934	0.411171	2.261	0.995351
-88.92773	-28.125	227.094	228.032	229.364	0.938	0.413045	2.27	0.999586
-88.92773	-26.71875	227.043	227.981	229.309	0.938	0.413138	2.266	0.998049
-88.92773	-25.3125	226.981	227.92	229.254	0.939	0.413691	2.273	1.00141
-88.92773	-23.90625	226.924	227.867	229.202	0.943	0.415558	2.278	1.00386
-88.92773	-22.5	226.865	227.811	229.145	0.946	0.416988	2.28	1.005
-88.92773	-21.09375	226.805	227.759	229.087	0.954	0.420626	2.282	1.00615
-88.92773	-19.6875	226.741	227.701	229.024	0.96	0.423391	2.283	1.00688
-88.92773	-18.28125	226.682	227.645	228.974	0.963	0.424824	2.292	1.01111
-88.92773	-16.875	226.619	227.584	228.921	0.965	0.425825	2.302	1.0158
-88.92773	-15.46875	226.556	227.523	228.865	0.967	0.426826	2.309	1.01917
-88.92773	-14.0625	226.496	227.462	228.804	0.966	0.426498	2.308	1.019
-88.92773	-12.65625	226.434	227.4	228.749	0.966	0.426614	2.315	1.02237
-88.92773	-11.25	226.37	227.339	228.686	0.969	0.42806	2.316	1.0231
-88.92773	-9.84375	226.307	227.285	228.63	0.978	0.432156	2.323	1.02648
-88.92773	-8.4375	226.242	227.226	228.572	0.984	0.434933	2.33	1.02987
-88.92773	-7.03125	226.184	227.163	228.514	0.979	0.432833	2.33	1.03013
-88.92773	-5.625	226.114	227.096	228.443	0.982	0.434294	2.329	1.03001
-88.92773	-4.21875	226.054	227.038	228.388	0.984	0.435294	2.334	1.0325
-88.92773	-2.8125	225.985	226.973	228.328	0.988	0.437197	2.343	1.03679
-88.92773	-1.40625	225.925	226.91	228.278	0.985	0.435985	2.353	1.0415
-87.5387	0	226.97	228.01	229.374	1.04	0.45821	2.404	1.05917
-87.5387	1.40625	226.833	227.879	229.25	1.046	0.461132	2.417	1.06554
-87.5387	2.8125	226.691	227.739	229.112	1.048	0.462303	2.421	1.06797
-87.5387	4.21875	226.561	227.618	228.985	1.057	0.466541	2.424	1.06991
-87.5387	5.625	226.425	227.482	228.855	1.057	0.466821	2.43	1.0732
-87.5387	7.03125	226.291	227.355	228.731	1.064	0.470191	2.44	1.07826
-87.5387	8.4375	226.159	227.224	228.599	1.065	0.470908	2.44	1.07889
-87.5387	9.84375	226.025	227.094	228.471	1.069	0.472957	2.446	1.08218
