GID_LAT,GID_LON,mean_1870-1999,mean_1995-1999,mean_2015-2030,abs_diff_1995-1999_1870-1999,prct_abs_diff_1995-1999_1870-1999,abs_diff_2015-2030_1870-1999,prct_abs_diff_2015-2030_1870-1999
-88.92773,-149.0625,6.86733,6.97326,7.65528,0.10593,1.54252,0.78795,11.4739
-88.92773,-147.65625,6.88167,6.99146,7.67682,0.10979,1.5954,0.79515,11.5546
-88.92773,-146.25,6.89487,7.02186,7.69347,0.12699,1.8418,0.7986,11.5825
-88.92773,-144.84375,6.90493,7.03355,7.69144,0.12862,1.86273,0.78651,11.3906
-88.92773,-143.4375,6.91303,7.03278,7.68944,0.11975,1.73224,0.77641,11.2311
-88.92773,-142.03125,6.9196,7.02965,7.69896,0.11005,1.59041,0.77936,11.2631
-88.92773,-140.625,6.92519,7.04416,7.70666,0.11897,1.71793,0.78147,11.2845
-88.92773,-139.21875,6.92732,7.06464,7.71184,0.13732,1.9823,0.78452,11.325
-88.92773,-137.8125,6.93031,7.07678,7.71581,0.14647,2.11347,0.7855,11.3343
-88.92773,-136.40625,6.93303,7.0832,7.72307,0.15017,2.16601,0.79004,11.3953
-88.92773,-135,6.93653,7.08377,7.73308,0.14724,2.12268,0.79655,11.4834
-88.92773,-133.59375,6.93913,7.08255,7.75296,0.14342,2.06683,0.81383,11.7281
-88.92773,-132.1875,6.94015,7.08115,7.76262,0.141,2.03166,0.82247,11.8509
-88.92773,-130.78125,6.93538,7.08578,7.77073,0.1504,2.16859,0.83535,12.0448
-88.92773,-129.375,6.93061,7.0934,7.78176,0.16279,2.34886,0.85115,12.281
-88.92773,-127.96875,6.92737,7.09714,7.78592,0.16977,2.45071,0.85855,12.3936
-88.92773,-126.5625,6.92057,7.0968,7.77923,0.17623,2.54647,0.85866,12.4074
-88.92773,-125.15625,6.91373,7.09678,7.7754,0.18305,2.64763,0.86167,12.4632
-88.92773,-123.75,6.90534,7.11018,7.77524,0.20484,2.9664,0.8699,12.5975
-88.92773,-122.34375,6.89845,7.11311,7.77819,0.21466,3.11171,0.87974,12.7527
-88.92773,-120.9375,6.89441,7.1195,7.77693,0.22509,3.26482,0.88252,12.8005
-88.92773,-119.53125,6.88521,7.11763,7.76197,0.23242,3.37564,0.87676,12.734
-88.92773,-118.125,6.87325,7.1024,7.75988,0.22915,3.33394,0.88663,12.8997
-88.92773,-116.71875,6.86306,7.08082,7.75321,0.21776,3.17293,0.89015,12.9702
-88.92773,-115.3125,6.85143,7.07047,7.75918,0.21904,3.197,0.90775,13.2491
-88.92773,-113.90625,6.84035,7.07575,7.76569,0.2354,3.44134,0.92534,13.5277
-88.92773,-112.5,6.82764,7.08748,7.76057,0.25984,3.80571,0.93293,13.664
-88.92773,-111.09375,6.81404,7.07039,7.75402,0.25635,3.76209,0.93998,13.7948
-88.92773,-109.6875,6.80145,7.07881,7.74252,0.27736,4.07795,0.94107,13.8363
-88.92773,-108.28125,6.78592,7.07603,7.72635,0.29011,4.27518,0.94043,13.8585
-88.92773,-106.875,6.76967,7.06989,7.71145,0.30022,4.43478,0.94178,13.9118
-88.92773,-105.46875,6.75442,7.05044,7.70376,0.29602,4.38261,0.94934,14.0551
-88.92773,-104.0625,6.73736,7.0288,7.70203,0.29144,4.32573,0.96467,14.3182
-88.92773,-102.65625,6.72046,7.02417,7.69049,0.30371,4.51918,0.97003,14.434
-88.92773,-101.25,6.70174,7.02492,7.68439,0.32318,4.82233,0.98265,14.6626
-88.92773,-99.84375,6.68289,7.0044,7.67662,0.32151,4.81094,0.99373,14.8698
-88.92773,-98.4375,6.66341,6.97957,7.66787,0.31616,4.74472,1.00446,15.0743
-88.92773,-97.03125,6.64332,6.97595,7.65326,0.33263,5.00698,1.00994,15.2023
-88.92773,-95.625,6.62409,6.97885,7.63517,0.35476,5.3556,1.01108,15.2637
-88.92773,-94.21875,6.60096,6.96016,7.61941,0.3592,5.44163,1.01845,15.4288
-88.92773,-92.8125,6.57774,6.94443,7.61292,0.36669,5.57471,1.03518,15.7376
-88.92773,-91.40625,6.5579,6.93821,7.59995,0.38031,5.79927,1.04205,15.89
-88.92773,-90,6.53781,6.92845,7.58835,0.39064,5.97509,1.05054,16.0687
-88.92773,-88.59375,6.51457,6.90332,7.56965,0.38875,5.96739,1.05508,16.1957
-88.92773,-87.1875,6.48863,6.88612,7.55874,0.39749,6.12595,1.07011,16.4921
-88.92773,-85.78125,6.46431,6.87631,7.53476,0.412,6.37346,1.07045,16.5594
-88.92773,-84.375,6.43761,6.85794,7.51342,0.42033,6.52929,1.07581,16.7113
-88.92773,-82.96875,6.41282,6.82253,7.49325,0.40971,6.38892,1.08043,16.848
-88.92773,-81.5625,6.38798,6.81001,7.47006,0.42203,6.60663,1.08208,16.9393
-88.92773,-80.15625,6.36163,6.79044,7.44667,0.42881,6.74057,1.08504,17.056
-88.92773,-78.75,6.33373,6.77672,7.43095,0.44299,6.99414,1.09722,17.3234
-88.92773,-77.34375,6.30457,6.75516,7.4083,0.45059,7.14704,1.10373,17.5068
-88.92773,-75.9375,6.27784,6.74171,7.37071,0.46387,7.38901,1.09287,17.4084
-88.92773,-74.53125,6.25077,6.73222,7.33817,0.48145,7.70225,1.0874,17.3963
-88.92773,-73.125,6.22299,6.69989,7.30574,0.4769,7.66352,1.08275,17.3992
-88.92773,-71.71875,6.19231,6.65346,7.27959,0.46115,7.44714,1.08728,17.5586
-88.92773,-70.3125,6.1623,6.63753,7.26561,0.47523,7.71189,1.10331,17.9042
-88.92773,-68.90625,6.134,6.63054,7.23947,0.49654,8.09488,1.10547,18.022
-88.92773,-67.5,6.10516,6.61175,7.21675,0.50659,8.29774,1.11159,18.2074
-88.92773,-66.09375,6.07544,6.56541,7.18702,0.48997,8.06477,1.11158,18.2963
-88.92773,-64.6875,6.04274,6.52934,7.15653,0.4866,8.05264,1.11379,18.4319
-88.92773,-63.28125,6.0101,6.51025,7.13833,0.50015,8.32182,1.12823,18.7722
-88.92773,-61.875,5.97913,6.48236,7.11781,0.50323,8.41644,1.13868,19.0442
-88.92773,-60.46875,5.94964,6.45533,7.08173,0.50569,8.49951,1.13209,19.0279
-88.92773,-59.0625,5.92206,6.43943,7.0415,0.51737,8.73632,1.11944,18.9029
-88.92773,-57.65625,5.89135,6.41959,7.00627,0.52824,8.96637,1.11492,18.9247
-88.92773,-56.25,5.85855,6.3869,6.98497,0.52835,9.01844,1.12642,19.2269
-88.92773,-54.84375,5.82703,6.34964,6.96535,0.52261,8.96872,1.13832,19.5352
-88.92773,-53.4375,5.79624,6.32678,6.9288,0.53054,9.15318,1.13256,19.5396
-88.92773,-52.03125,5.76551,6.29386,6.89228,0.52835,9.16398,1.12677,19.5433
-88.92773,-50.625,5.73664,6.26676,6.85564,0.53012,9.24095,1.119,19.5062
-88.92773,-49.21875,5.70366,6.2322,6.82075,0.52854,9.26668,1.11709,19.5855
-88.92773,-47.8125,5.67014,6.20105,6.79081,0.53091,9.36326,1.12067,19.7644
-88.92773,-46.40625,5.6377,6.17247,6.75982,0.53477,9.48561,1.12212,19.9039
-88.92773,-45,5.60616,6.14435,6.73109,0.53819,9.59998,1.12493,20.066
-88.92773,-43.59375,5.57575,6.1088,6.69551,0.53305,9.56015,1.11976,20.0827
-88.92773,-42.1875,5.54534,6.08087,6.66184,0.53553,9.6573,1.1165,20.134
-88.92773,-40.78125,5.51417,6.0588,6.63232,0.54463,9.87692,1.11815,20.2778
-88.92773,-39.375,5.48191,6.0227,6.60078,0.54079,9.86499,1.11887,20.4102
-88.92773,-37.96875,5.45045,5.9874,6.56632,0.53695,9.85148,1.11587,20.473
-88.92773,-36.5625,5.42139,5.95628,6.53989,0.53489,9.86629,1.1185,20.6312
-88.92773,-35.15625,5.38859,5.92158,6.50882,0.53299,9.89108,1.12023,20.7889
-88.92773,-33.75,5.35754,5.88717,6.48075,0.52963,9.88569,1.12321,20.965
-88.92773,-32.34375,5.32626,5.85399,6.44311,0.52773,9.90808,1.11685,20.9687
-88.92773,-30.9375,5.29384,5.8271,6.4111,0.53326,10.0732,1.11726,21.1049
-88.92773,-29.53125,5.26401,5.80966,6.37837,0.54565,10.3657,1.11436,21.1694
-88.92773,-28.125,5.23457,5.77373,6.34534,0.53916,10.3,1.11077,21.2199
-88.92773,-26.71875,5.20471,5.73235,6.30675,0.52764,10.1377,1.10204,21.1739
-88.92773,-25.3125,5.17482,5.69906,6.27504,0.52424,10.1306,1.10022,21.261
-88.92773,-23.90625,5.14543,5.66553,6.24744,0.5201,10.108,1.10201,21.4173
-88.92773,-22.5,5.11629,5.63949,6.21996,0.5232,10.2262,1.10367,21.5717
-88.92773,-21.09375,5.08802,5.60851,6.19361,0.52049,10.2297,1.10559,21.7293
-88.92773,-19.6875,5.05827,5.57813,6.16029,0.51986,10.2774,1.10202,21.7865
-88.92773,-18.28125,5.02949,5.55124,6.11527,0.52175,10.3738,1.08578,21.5883
