geonameid,name,asciiname,latitude,longitude,population
144616,Ahar,Ahar,38.4774,47.0699,94348
144696,Aghajari,Aghajari,30.7006,49.8315,21785
144794,Ābyek,Abyek,36.06667,50.55,55128
145034,Abhar,Abhar,36.1468,49.218,69889
145233,Ābdānān,Abdanan,32.9926,47.4198,19360
145449,Ābādeh,Abadeh,31.1608,52.6506,56988
145459,Abadan,Abadan,30.3392,48.3043,370180
145531,Saurimo,Saurimo,-9.66078,20.39155,40498
145724,Lucapa,Lucapa,-8.41915,20.74466,20115
146189,Pergamos,Pergamos,35.04167,33.70833,15000
146209,Paralímni,Paralimni,35.03946,33.98181,11836
146214,Paphos,Paphos,34.77679,32.42451,35961
146268,Nicosia,Nicosia,35.16667,33.36667,200452
146286,Mórfou,Morfou,35.19869,32.99338,14833
146384,Limassol,Limassol,34.68406,33.03794,154000
146400,Larnaca,Larnaca,34.92291,33.6233,72000
146412,Kyrenia,Kyrenia,35.33634,33.31729,26701
146617,Famagusta,Famagusta,35.12054,33.93894,42526
146796,Aradíppou,Aradippou,34.95151,33.59199,13349
146862,Prishibinskoye,Prishibinskoye,39.11817,48.59255,13340
146970,Xankandi,Xankandi,39.8177,46.7528,53100
147059,Əhmədbəyli,Ahmadbayli,39.87867,48.39902,17242
147105,Shushi,Shushi,39.76006,46.74989,18662
147271,Salyan,Salyan,39.59621,48.98479,36555
147288,Saatlı,Saatli,39.93214,48.36892,87000
147425,Neftçala,Neftcala,39.3768,49.247,18661
147429,Nakhchivan,Nakhchivan,39.20889,45.41222,64754
147622,Lankaran,Lankaran,38.75428,48.85062,240300
147982,Imishli,Imishli,39.87095,48.05995,34178
148106,Fizuli,Fizuli,39.60094,47.14529,26765
148251,Culfa,Culfa,38.9558,45.6308,10820
148290,Dzhalilabad,Dzhalilabad,39.20963,48.49186,36259
148340,Pushkino,Pushkino,39.45833,48.545,18182
148354,Beylagan,Beylagan,39.77556,47.61861,15599
148445,Astara,Astara,38.45598,48.87498,15190
148565,Şirvan,Sirvan,39.93778,48.929,70220
148619,Ağdam,Agdam,39.99096,46.92736,39451
148730,Zanzibar,Zanzibar,-6.16394,39.19793,403658
148842,Wete,Wete,-5.05589,39.72938,26450
148942,Vwawa,Vwawa,-9.11667,32.93333,40145
148987,Vikindu,Vikindu,-7.00667,39.29849,23307
149027,Uyovu,Uyovu,-3.28333,31.52583,60849
149050,Uvinza,Uvinza,-5.10361,30.39111,24650
149070,Utete,Utete,-7.98598,38.75795,11888
149129,Ushirombo,Ushirombo,-3.49194,31.96389,95052
149132,Usevia,Usevia,-7.1,31.23333,17742
149151,Usagara,Usagara,-2.68333,33.0,15514
149155,Usa River,Usa River,-3.36667,36.85,18726
149172,Urambo,Urambo,-5.06667,32.05,23724
149239,Ulenje,Ulenje,-8.93333,33.68333,12219
149402,Tunduma,Tunduma,-9.3,32.76667,36556
149418,Tumbi,Tumbi,-5.06667,32.73333,32900
149437,Tukuyu,Tukuyu,-9.25,33.65,28398
149512,Tinde,Tinde,-3.88333,33.2,22082
149581,Tarime,Tarime,-1.35,34.36667,33094
149606,Tanga,Tanga,-5.06893,39.09875,224876
149658,Tabora,Tabora,-5.01622,32.82663,145292
149703,Sumbawanga,Sumbawanga,-7.96667,31.61667,89161
149768,Soni,Soni,-4.85,38.36667,12402
149775,Songwa,Songwa,-3.51667,33.51667,23618
149792,Somanda,Somanda,-3.36667,33.95,33932
149812,Sokoni,Sokoni,-6.43333,39.55,25821
149854,Sirari,Sirari,-1.23333,34.43333,24317
149879,Singida,Singida,-4.81629,34.74358,62432
149929,Sikonge,Sikonge,-5.63333,32.76667,27113
150006,Shinyanga,Shinyanga,-3.66393,33.42118,107362
150037,Shelui,Shelui,-4.36667,34.2,24817
150099,Sepuka,Sepuka,-4.75,34.53333,25657
150276,Same,Same,-4.06667,37.73333,17455
150436,Rulenge,Rulenge,-2.7175,30.6325,22069
150453,Rujewa,Rujewa,-8.7,34.38333,29228
150634,Puma,Puma,-5.0,34.73333,17092
150885,Old Shinyanga,Old Shinyanga,-3.55,33.4,23747
150930,Nzega,Nzega,-4.21667,33.18333,26584
151062,Nyanguge,Nyanguge,-2.55,33.2,10746
151108,Nyamuswa,Nyamuswa,-1.9,34.01667,16507
151211,Nyalikungu,Nyalikungu,-3.18333,33.78333,24648
151262,Nyakahanga,Nyakahanga,-1.60333,31.14139,14611
151266,Nyakabindi,Nyakabindi,-2.63333,33.98333,18428
151363,Nsunga,Nsunga,-1.14389,31.39472,20049
151373,Nshamba,Nshamba,-1.79833,31.55111,19815
151445,Nkoaranga,Nkoaranga,-3.33333,36.8,14738
151479,Njombe,Njombe,-9.33333,34.76667,46724
151567,Nguruka,Nguruka,-5.10917,31.04194,39135
151599,Ngudu,Ngudu,-2.96667,33.33333,22658
151610,Ngorongoro,Ngorongoro,-3.23973,35.48747,10836
151678,Ngerengere,Ngerengere,-6.75,38.11667,17181
151711,Ngara,Ngara,-2.51222,30.65583,16890
151775,Ndungu,Ndungu,-4.36667,38.05,14545
151872,Ndago,Ndago,-4.6,34.35,13012
151929,Nangwa,Nangwa,-4.46667,35.45,18595
151986,Namanyere,Namanyere,-7.51667,31.05,28218
151988,Namanga,Namanga,-2.55116,36.78377,12048
