GID_GRUMP	GEONAMEIDS	ASCIINAMES	GEONAME_POP	GRUMP_POP
37714	4500942	Bridgeton	25349	36123
37739	4141363|4141674|4142683|4142969|4143861|4144101|4145381|4354234|4500709|4500750|4500959|4501018|4501198|4501204|4501234|4501306|4501632|4501931|4501943|4502049|4502103|4502129|4502434|4502687|4502901|4502911|4503078|4503134|4503136|4503346|4503548|450355	"Agawam|Amherst Center|Ansonia|Beachwood|Bear|Bellmawr|Branford|Bridgeport|Bridgewater|Bristol|Brookside|Broomall|Browns Mills|Camden|Cherry Hill|Cherry Hill Mall|Cheshire|Chester|Chicopee|Cinnaminson|City of Milford (balance)|Coatesville|Collingswood|Dar"	4331492	26991208
37747	4261032	Martinsville	11828	17209
37748	2520611	Caceres	93131	17943
37752	321136	Bigadic	15242	16951
37753	148340	Pushkino	18182	20668
37754	1215839	Urgut	47373	106401
37767	301453	Savastepe	10324	14428
37773	4354163	Eldersburg	30531	26842
37792	4398730	Moberly	13974	19275
37793	4265737	"Terre Haute"	60785	115127
37794	2265485|2270437	"Caldas da Rainha|Obidos"	37834	35278
37795	5412199|5412347|5413519|5414941|5415035|5416329|5416357|5416541|5417657|5417737|5419384|5421250|5421709|5423294|5423908|5425043|5427207|5427771|5427946|5429032|5429208|5429522|5433124|5434006|5438567|5439752|5440838|5441384|5441492|5443482|5443910|544394	"Arvada|Aurora|Berkley|Boulder|Brighton|Broomfield|Castle Pines North|Castle Rock|Castlewood|Centennial|Columbine|Commerce City|Denver|Englewood|Erie|Federal Heights|Firestone|Golden|Greenwood Village|Highlands Ranch|Ken Caryl|Lafayette|Lakewood|Littleton"	2474454	2398675
37797	316544	Divrigi	13139	21608
37801	2524979	"Ciro Marina"	14840	12781
37804	318603	Cifteler	10166	13149
37806	312114	Hinis	35472	27461
37815	2264923	Peniche	15662	21627
37824	315639	Emet	23812	19397
37829	4347839|4355585	"Ballenger Creek|Frederick"	83513	107907
37839	310641	Kaman	28605	27982
37852	1787646	Yangcun	63756	44502
37865	1798490	Pulandian	104277	263482
37868	4258302	Greensburg	11492	11609
37872	260989	Karditsa	32789	45464
37878	4385966	"Excelsior Springs"	11084	22908
37901	2523888	Paola	12649	28352
37911	4505542	Athens	23832	30826
37912	262462	Farsala	10380	10825
37915	301537	Sarkisla	23800	20689
37918	2264508	Portalegre	15581	17482
37923	322673	Ayvalik	35193	26489
37934	251833|9034728	"Nea Ionia|Volos"	117086	144003
37993	4274236|4274305	Lansing|Leavenworth	46516	46848
37994	2523664|2524907	Cosenza|Quattromiglia	86741	216212
37997	2523461	"San Giovanni in Fiore"	17358	15665
37998	2263480|2271926	Almeirim|Santarem	40942	38856
38001	310554	Kangal	11888	19227
38002	302819	Patnos	87451	71844
38023	1216475	Muborak	29180	22757
38025	1808931	Hangu	208369	84220
38031	1871871	P'yongsong	100000	224797
38035	2111310|2112444	Kamaishi|Otsuchi	59604	16595
38043	174875	Kapan	33160	30239
38044	1794971	Shitanjing	78765	21023
38060	148290	Dzhalilabad	36259	28536
38091	298088	Varto	18691	12973
38101	4517586	Marietta	14085	125219
38102	300371	Soma	65934	60794
38103	2110460|2110506|2111435|2112454	Kakunodatemachi|Omagari|Yokotemachi|Yuzawa	125657	183217
38107	4398103	Mexico	11543	13597
38116	1791249|1791325|1794806	Shizuishan|Wuda|Wuhai	484919	459824
38126	2270023	Cartaxo	10502	12383
38131	304916	Malazgirt	26108	23677
38134	5353775	"Grass Valley"	12860	40857
38136	4256038	Columbus	44061	60316
38177	5370984|5379264|5397851|5411015	"Marysville|Olivehurst|South Yuba City|Yuba City"	105870	110194
38178	307515	Kirsehir	94336	88345
38182	256866	Mytilini	28322	30250
38183	5404476	Ukiah	16075	34103
38184	321426	Bergama	57200	52288
38185	147429	Nakhchivan	64754	122379
38187	307623	Kirkagac	27053	25082
38188	4237727	Effingham	12328	20420
